x,computed,exact,rel_error,log10(error)
0.0325,0.244974,0.244974,8.33295e-08,-7.0792
0.0326,0.245596,0.245596,8.33294e-08,-7.0792
0.0327,0.246218,0.246218,8.33294e-08,-7.0792
0.0328,0.246838,0.246838,8.33294e-08,-7.0792
0.0329,0.247458,0.247458,8.33294e-08,-7.0792
0.033,0.248078,0.248078,8.33294e-08,-7.0792
0.0331,0.248696,0.248696,8.33294e-08,-7.0792
0.0332,0.249314,0.249314,8.33294e-08,-7.0792
0.0333,0.249931,0.249931,8.33294e-08,-7.0792
0.0334,0.250548,0.250548,8.33294e-08,-7.0792
0.0335,0.251163,0.251163,8.33294e-08,-7.0792
0.0336,0.251778,0.251778,8.33294e-08,-7.0792
0.0337,0.252393,0.252393,8.33294e-08,-7.0792
0.0338,0.253006,0.253006,8.33294e-08,-7.0792
0.0339,0.253619,0.253619,8.33294e-08,-7.0792
0.034,0.254231,0.254231,8.33294e-08,-7.0792
0.0341,0.254843,0.254843,8.33294e-08,-7.0792
0.0342,0.255453,0.255453,8.33294e-08,-7.0792
0.0343,0.256063,0.256063,8.33294e-08,-7.0792
0.0344,0.256673,0.256673,8.33294e-08,-7.0792
0.0345,0.257281,0.257281,8.33294e-08,-7.0792
0.0346,0.257889,0.257889,8.33294e-08,-7.0792
0.0347,0.258496,0.258496,8.33294e-08,-7.0792
0.0348,0.259103,0.259103,8.33294e-08,-7.0792
0.0349,0.259708,0.259708,8.33294e-08,-7.0792
0.035,0.260313,0.260313,8.33294e-08,-7.0792
0.0351,0.260918,0.260918,8.33294e-08,-7.0792
0.0352,0.261521,0.261521,8.33294e-08,-7.0792
0.0353,0.262124,0.262124,8.33294e-08,-7.0792
0.0354,0.262727,0.262727,8.33294e-08,-7.0792
0.0355,0.263328,0.263328,8.33294e-08,-7.0792
0.0356,0.263929,0.263929,8.33294e-08,-7.0792
0.0357,0.264529,0.264529,8.33294e-08,-7.0792
0.0358,0.265129,0.265129,8.33294e-08,-7.0792
0.0359,0.265727,0.265727,8.33294e-08,-7.0792
0.036,0.266325,0.266325,8.33294e-08,-7.0792
0.0361,0.266923,0.266923,8.33294e-08,-7.0792
0.0362,0.267519,0.267519,8.33294e-08,-7.0792
0.0363,0.268115,0.268115,8.33294e-08,-7.0792
0.0364,0.26871,0.26871,8.33294e-08,-7.0792
0.0365,0.269305,0.269305,8.33294e-08,-7.0792
0.0366,0.269899,0.269899,8.33294e-08,-7.0792
0.0367,0.270492,0.270492,8.33294e-08,-7.0792
0.0368,0.271084,0.271084,8.33294e-08,-7.0792
0.0369,0.271676,0.271676,8.33294e-08,-7.0792
0.037,0.272267,0.272267,8.33294e-08,-7.0792
